Track,Artist
360,Charli xcx
Club Classics,Charli xcx
Sympathy Is a Knife,Charli xcx
I Might Say Something Stupid,Charli xcx
Talk Talk,Charli xcx
Von Dutch,Charli xcx
Everything Is Romantic,Charli xcx
Rewind,Charli xcx
So I,Charli xcx
"Girl, So Confusing",Charli xcx
Apple,Charli xcx
B2B,Charli xcx
Mean Girls,Charli xcx
I Think About It All the Time,Charli xcx
365,Charli xcx
Hello Goodbye,Charli xcx
Guess,Charli xcx
Spring breakers,Charli xcx
360 feat robyn & yung lean,Charli xcx
Club classics feat bb trickz,Charli xcx
Sympathy is a knife feat ariana grande,Charli xcx
I might say something stupid feat the 1975 & jon hopkins,Charli xcx
Talk talk feat troye sivan,Charli xcx
Von dutch a.g. cook remix feat addison rae,Charli xcx
Everything is romantic feat caroline polachek,Charli xcx
Rewind feat bladee,Charli xcx
So I feat a.g. cook,Charli xcx
"Girl, so confusing feat lorde",Charli xcx
Apple feat the japanese house,Charli xcx
B2b feat tinashe,Charli xcx
Mean girls feat julian casablancas,Charli xcx
I think about it all the time feat bon iver,Charli xcx
365 feat shygirl,Charli xcx
Guess feat billie eilish,Charli xcx
