Edition,Date,Network
1st,5/4/1959,NBC
2nd,11/29/1959,
3rd,4/13/1961,
4th,5/29/1962,
5th,5/15/1963,
6th,5/12/1964,
7th,4/13/1965,
8th,3/15/1966,
9th,3/2/1967,
10th,2/29/1968,
11th,3/12/1969,
12th,3/11/1970,
13th,3/16/1971,ABC
14th,3/15/1972,
15th,3/3/1973,CBS
16th,3/2/1974,
17th,3/1/1975,
18th,2/28/1976,
19th,2/19/1977,
20th,2/23/1978,
21st,2/15/1979,
22nd,2/27/1980,
23rd,2/25/1981,
24th,2/24/1982,
25th,2/23/1983,
26th,2/28/1984,
27th,2/26/1985,
28th,2/25/1986,
29th,2/24/1987,
30th,3/2/1988,
31st,2/22/1989,
32nd,2/21/1990,
33rd,2/20/1991,
34th,2/25/1992,
35th,2/24/1993,
36th,3/1/1994,
37th,3/1/1995,
38th,2/28/1996,
39th,2/26/1997,
40th,2/25/1998,
41st,2/24/1999,
42nd,2/23/2000,
43rd,2/21/2001,
44th,2/27/2002,
45th,2/23/2003,
46th,2/8/2004,
47th,2/13/2005,
48th,2/8/2006,
49th,2/11/2007,
50th,2/10/2008,
51st,2/8/2009,
52nd,1/31/2010,
53rd,2/13/2011,
54th,2/12/2012,
55th,2/10/2013,
56th,1/26/2014,
57th,2/8/2015,
58th,2/15/2016,
59th,2/12/2017,
60th,1/28/2018,
61st,2/10/2019,
62nd,1/26/2020,
63rd,3/14/2021,
64th,4/3/2022,
65th,2/5/2023,
66th,2/4/2024,
67th,2/2/2025,
